Time,usr usage
08:15:08,22.97
08:15:09,20.44
08:15:10,22.54
08:15:11,23.45
08:15:12,21.64
08:15:16,18.69
08:15:17,18.55
08:15:18,17.48
08:15:19,20.70
08:15:20,20.45
08:15:23,20.51
08:15:24,21.87
08:15:25,20.52
08:15:26,20.36
08:15:27,21.04
08:16:00,21.33
08:16:01,23.06
08:16:02,20.70
08:16:03,20.08
08:16:04,19.84
08:16:08,19.38
08:16:09,20.32
08:16:10,19.01
08:16:11,22.57
08:16:12,22.37
08:31:16,21.40
08:31:17,21.60
08:31:18,20.65
08:31:19,22.73
08:31:20,23.94
08:31:23,23.45
08:31:24,20.16
08:31:25,27.57
08:31:26,20.55
08:31:27,20.16
08:31:31,21.46
08:31:32,19.44
08:31:33,20.60
08:31:34,21.06
08:31:35,21.62
08:31:37,22.67
08:31:38,20.51
08:31:39,20.68
08:31:40,21.83
08:31:41,19.72
08:31:44,21.09
08:31:45,20.35
08:31:46,22.61
08:31:47,20.59
08:31:48,19.63
08:32:05,20.24
08:32:06,23.29
08:32:07,22.16
08:32:08,20.24
08:32:09,19.96
08:32:15,21.17
08:32:16,20.90
08:32:17,19.28
08:32:18,20.33
08:32:19,18.29
08:32:22,16.70
08:32:23,18.62
08:32:24,21.17
08:32:25,21.11
08:32:26,20.77
08:32:32,23.18
08:32:33,22.22
08:32:34,22.33
08:32:35,23.50
08:32:36,19.48
