Time,usr usage
08:18:15,59.63
08:18:16,57.34
08:18:17,62.96
08:18:18,58.44
08:18:19,57.82
08:19:22,43.97
08:19:23,41.88
08:19:24,40.27
08:19:25,40.47
08:19:26,40.60
08:19:32,42.52
08:19:33,41.93
08:19:34,43.16
08:19:35,45.96
08:19:36,42.03
08:19:40,43.49
08:19:41,40.77
08:19:42,43.63
08:19:43,42.92
08:19:44,41.30
08:19:49,37.94
08:19:50,41.28
08:19:51,43.90
08:19:52,41.76
08:19:53,43.32
08:29:50,39.96
08:29:51,41.79
08:29:52,41.36
08:29:53,41.61
08:29:54,42.55
08:29:57,38.00
08:29:58,40.84
08:29:59,43.23
08:30:00,41.39
08:30:01,41.30
08:30:04,40.04
08:30:05,39.65
08:30:06,40.69
08:30:07,42.29
08:30:08,41.58
08:30:11,46.40
08:30:12,41.19
08:30:13,38.49
08:30:14,42.42
08:30:15,44.93
