Time,usr usage
09:00:34,20.63
09:00:35,19.13
09:00:36,23.74
09:00:37,27.29
09:00:38,25.19
09:00:41,44.76
09:00:42,20.44
09:00:43,28.26
09:00:44,23.32
09:00:45,17.95
09:00:48,23.47
09:00:49,24.75
09:00:50,22.94
09:00:51,19.27
09:00:52,18.59
09:00:55,27.66
09:00:56,20.73
09:00:57,22.33
09:00:58,21.46
09:00:59,17.81
09:01:02,17.89
09:01:03,18.91
09:01:04,17.60
09:01:05,23.72
09:01:06,22.00
09:01:10,26.14
09:01:11,20.82
09:01:12,23.02
09:01:13,22.24
09:01:14,18.43
09:01:17,37.55
09:01:18,17.86
09:01:19,21.94
09:01:20,29.04
09:01:21,33.12
09:01:24,22.88
09:01:25,19.84
09:01:26,18.91
09:01:27,18.75
09:01:28,22.74
